common.breadcrumb	Ruta de navegación
home.blogSection.fallbackPosts[0].title	Dispositivos IPL inteligentes: la revolución de la conexión por app
home.blogSection.fallbackPosts[0].excerpt	Descubra cómo la conectividad por app está transformando la experiencia del usuario de IPL con planes de tratamiento personalizados y seguimiento del progreso.
home.blogSection.fallbackPosts[0].category	TECNOLOGÍA
home.blogSection.fallbackPosts[1].title	Últimos avances en la investigación IPL
home.blogSection.fallbackPosts[1].excerpt	Explore las tecnologías IPL más avanzadas, incluida la detección de piel mediante IA y los sistemas de refrigeración de nueva generación.
home.blogSection.fallbackPosts[1].category	INNOVACIÓN
home.blogSection.fallbackPosts[2].title	OEM vs. ODM: cómo elegir el modelo de fabricación adecuado
home.blogSection.fallbackPosts[2].excerpt	Comprenda la diferencia entre los servicios OEM y ODM y elija el mejor enfoque para su marca.
home.blogSection.fallbackPosts[2].category	GUÍA
home.blogSection.noImage	Sin imagen
homepage.trustBar.shipping	Envío internacional
homepage.trustBar.privateLabel	Marca blanca
homepage.trustBar.chatgpt	Colección destacada de ChatGPT
homepage.logo.alt	Proveedor de epiladores láser iShine
homepage.nav.products	Productos
homepage.nav.services	Servicios
homepage.nav.ourWork	Nuestro trabajo
homepage.nav.getInTouch	Ponte en contacto
homepage.nav.menuLabel	Menú
homepage.mobile.iplCatalogue	Catálogo IPL
homepage.mobile.allProducts	Todos los productos
homepage.mobile.viewAllServices.title	Ver todos los servicios
homepage.mobile.viewAllServices.desc	Descubre cómo apoyamos tu proyecto IPL desde el lanzamiento hasta el crecimiento a largo plazo.
homepage.mobile.consultDesc	Consultoría en regulación médica, dropshipping y envío internacional
homepage.mega.lumi2.name	Lumi 2
homepage.mega.lumi2.tagline	Sensor de piel inteligente con refrigeración hasta 10°C
homepage.mega.lumi.name	Lumi
homepage.mega.lumi.tagline	Control inteligente por app
homepage.mega.venus.name	Venus
homepage.mega.venus.tagline	Refrigeración de hielo premium
homepage.mega.themis.name	Themis
homepage.mega.themis.tagline	Sistema de doble lámpara
homepage.mega.emerald.name	Emerald
homepage.mega.emerald.tagline	Refrigeración para pieles sensibles
homepage.mega.eirene.name	Eirene
homepage.mega.eirene.tagline	Grado profesional
homepage.mega.golden.name	Golden
homepage.mega.golden.tagline	Edición de lujo
homepage.mega.hebe.name	Hebe
homepage.mega.hebe.tagline	Sensor de piel con IA
homepage.mega.components.heading	Componentes IPL
homepage.mega.components.lamp	Cartuchos de lámpara
homepage.mega.components.filter	Filtros ópticos
homepage.mega.components.cooling	Sistema de refrigeración
homepage.mega.components.power	Fuente de alimentación
homepage.mega.card1.heading	Conoce el mejor IPL
homepage.mega.card1.desc	Sensor SmartSkin y refrigeración Diamond Ice
homepage.mega.card1.cta	Conoce Lumi 2
homepage.mega.audit.title	Obtén una auditoría IPL gratuita e inmediata
homepage.mega.audit.desc	Recomendaciones sobre problemas de energía, frecuencia y estabilidad, y datos reales de experiencia de usuario
homepage.mega.audit.cta	Obtener mi auditoría
homepage.mega.services.technology.title	Encuentra un socio de tecnología IPL
homepage.mega.services.technology.desc	Efecto hielo, sensor de piel y doble lámpara
homepage.mega.services.privateLabel.title	Marca blanca
homepage.mega.services.privateLabel.desc	Impresión de logotipo y caja personalizada
homepage.mega.services.build.title	Crea un nuevo IPL
homepage.mega.services.build.desc	Diseño y desarrollo a medida
homepage.mega.services.maintain.title	Mantenimiento o reparación de proyectos IPL
homepage.mega.services.maintain.desc	Soporte y mantenimiento
homepage.mega.services.heading	Servicios de fabricación
homepage.mega.services.oemOdm	OEM y ODM
homepage.mega.services.productDesign	Diseño de producto
homepage.mega.services.productionAssembly	Producción y ensamblaje
homepage.mega.services.packagingLogistics	Embalaje y logística
homepage.mega.services.logoPrinting	Impresión de logotipos
homepage.mega.services.boxCustom	Cajas personalizadas
homepage.mega.services.dropshipping	Dropshipping
homepage.mega.services.noMoq	Sin MOQ
homepage.mega.about.navTitle	Sobre nosotros
homepage.mega.about.title	Sobre iShine
homepage.mega.about.desc	Quiénes somos y qué hacemos
homepage.mega.about.brandStory.title	Nuestra historia
homepage.mega.about.brandStory.desc	Cómo empezó iShine
homepage.mega.about.companyProfile.title	Perfil de la empresa
homepage.mega.about.companyProfile.desc	Capacidades, certificaciones e instalaciones
homepage.mega.about.manufacturing.title	Capacidades de fabricación
homepage.mega.about.manufacturing.desc	Fábrica, equipos y escala de producción
homepage.mega.about.quality.title	Control de calidad
homepage.mega.about.quality.desc	Procesos y pruebas según ISO 13485
homepage.mega.about.team.title	Conoce al equipo
homepage.mega.about.team.desc	Las personas que hay detrás de nuestro trabajo
homepage.mega.about.clients.title	Testimonios de clientes
homepage.mega.about.clients.desc	La confianza de las principales marcas
homepage.mega.about.card.heading	Detrás de los proyectos
homepage.mega.about.card.desc	Las personas y las capacidades que hay detrás de nuestro trabajo.
homepage.mega.about.card.cta	Conoce al equipo
homepage.mega.resources.navTitle	Recursos
homepage.mega.resources.blog.title	Blog
homepage.mega.resources.blog.desc	Ideas y novedades de nuestros expertos.
homepage.mega.resources.faq.title	Preguntas frecuentes y ayuda
homepage.mega.resources.faq.desc	Las preguntas más frecuentes, respondidas.
homepage.mega.resources.audit.title	Auditoría gratuita de depiladoras IPL
homepage.mega.resources.audit.desc	Comprueba la energía, la frecuencia y la estabilidad.
homepage.mega.resources.consult.title	Servicio de consultoría iShine
homepage.mega.resources.consult.desc	Consultoría en regulación médica, dropshipping, envíos internacionales y extensiones de Shopify.
homepage.mega.resources.iplSafety.title	Seguridad de la IPL
homepage.mega.resources.iplSafety.desc	¿Es seguro el método de depilación IPL?
homepage.hero.powerLine	Impulsamos a las principales marcas mundiales de depiladoras IPL
homepage.hero.title	Fabricación de marca blanca para marcas ambiciosas
homepage.hero.bookACall	Reserva una llamada
homepage.whatWeDo.kicker	Qué hacemos
homepage.whatWeDo.heading	Diseño y desarrollo de depiladoras IPL que escalan
homepage.whatWeDo.item1.title	Encuentra tu socio de fabricación
homepage.whatWeDo.item1.desc	iShine Technology colabora con minoristas globales y líderes del sector de la belleza —incluidos Costco, RoseSkinCo y KU2 Cosmetics— para ofrecer innovadores depiladoras IPL de uso doméstico. Ayudamos a las marcas a expandirse en el mercado de la belleza tecnológica, en rápido crecimiento, con productos que combinan tecnología avanzada, seguridad y excelencia en el diseño.
homepage.whatWeDo.item1.cta	Encuentra un socio tecnológico
homepage.whatWeDo.item2.title	Tú lo diseñas, nosotros lo fabricamos y lo empaquetamos
homepage.whatWeDo.item2.desc	Como fabricante OEM y ODM de servicio completo, ofrecemos soluciones integrales: desde el diseño conceptual y el prototipado hasta la producción a gran escala, el embalaje personalizado y la logística mundial.
homepage.whatWeDo.item2.cta	Ver plataformas
homepage.whatWeDo.item3.title	Marca blanca
homepage.whatWeDo.item3.desc	Tanto si eres una marca, un minorista, un mayorista, un distribuidor, un vendedor de e-commerce o de Amazon, un estudio de diseño o una campaña promocional, iShine está aquí para colaborar y convertir tu idea de producto de belleza en realidad mediante OEM. Cuando firmamos el acuerdo de confidencialidad (NDA) contigo, nunca mostraremos las marcas ni los diseños de nuestros clientes.
homepage.whatWeDo.item3.cta	Explorar
homepage.whatWeDo.item4.title	Desarrolla un nuevo depiladora IPL
homepage.whatWeDo.item4.desc	Diseñamos y desarrollamos nuevas depiladoras IPL, mascarillas de terapia LED y secadores de pelo de alta velocidad adaptados a tu marca, tus objetivos y tus planes a largo plazo. Desde el embalaje personalizado y el diseño visual hasta el desarrollo y el lanzamiento, tu nuevo proyecto IPL está pensado para el rendimiento, la conversión y la escalabilidad.
homepage.whatWeDo.item4.cta	Empezar
homepage.whatWeDo.viewAllServices	Ver todos los servicios
homepage.whatWeDo.visual1Alt	Fabricación de marca blanca
homepage.whatWeDo.visual2Alt	Encuentra un socio tecnológico IPL
homepage.whatWeDo.visual3Alt	Mantenimiento o reparación de proyectos IPL
homepage.whatWeDo.visual4Alt	Desarrollo de nuevos productos IPL
homepage.showcase.lumi2Tagline	Sensor de piel inteligente + refrigeración de hasta 10°C
homepage.showcase.helixTagline	Refrigeración de hielo + 9 niveles de intensidad
homepage.showcase.alphaTagline	IPL de alta eficiencia
homepage.clients.heading	La confianza de marcas de belleza globales
homepage.clients.sub	Desde minoristas premium hasta startups de belleza tecnológica en rápido crecimiento.
homepage.clients.mandyskinAlt	MandySkin
homepage.clients.roseskincoAlt	RoseSkinCo
homepage.clients.ku2Alt	KU-2 Cosmetic
homepage.clients.luxskinAlt	LUX SKIN
homepage.stats.kicker	Tú lo diseñas, nosotros lo fabricamos y lo empaquetamos
homepage.stats.heading	Fabricación a gran escala para la industria IPL
homepage.stats.desc	Del prototipo a la producción en masa, nuestra trayectoria en fabricación habla por sí sola en el mercado mundial de la belleza tecnológica.
homepage.stats.viewProducts	Ver productos
homepage.stats.certValue	FDA · CE · ISO
homepage.stats.card1Label	Depiladoras IPL fabricados y enviados a mercados de todo el mundo desde 2021
homepage.stats.card2Label	Certificaciones internacionales para el cumplimiento normativo en los mercados globales
homepage.stats.qualityProcess	Proceso de calidad
homepage.stats.card3Label	Socios de marca globales, incluidos Costco, RoseSkinCo y KU2
homepage.stats.clientStories	Casos de éxito de clientes
homepage.stats.card4Label	Países atendidos con logística integral y soporte de exportación
homepage.stats.globalLogistics	Logística global
homepage.stats.prevAria	Tarjetas anteriores
homepage.stats.nextAria	Tarjetas siguientes
homepage.quality.kicker	Garantía de calidad
homepage.quality.heading	Certificaciones globales para una fabricación de confianza
homepage.quality.item1Desc	Soporte completo para el proceso de aprobación de la FDA y la documentación de cumplimiento continua.
homepage.quality.item2Desc	Cumplimiento normativo del mercado europeo para una distribución fluida en todos los estados miembros de la UE.
homepage.quality.item3Desc	Certificación del sistema de gestión de calidad de dispositivos médicos para una fabricación consistente.
homepage.quality.item4Desc	Programa de Auditoría Única de Dispositivos Médicos para la aceptación regulatoria en múltiples mercados.
homepage.quality.cta	Conoce nuestro proceso de calidad
homepage.quality.badgeCertified	Certificado
homepage.quality.badgeCeMarked	Marcado CE
homepage.quality.badgeIso	ISO 13485
homepage.quality.badgeCompliant	Conforme
homepage.quality.badgeMdsap	MDSAP
homepage.expertise.heading	Fabricante integral de depiladoras IPL en Shenzhen
homepage.expertise.logoPrintAlt	Impresión de logotipos
homepage.expertise.boxCustomAlt	Embalaje personalizado
homepage.expertise.globalExpressAlt	Envío exprés global
homepage.expertise.desc	Como fabricante de depiladoras IPL con sede en Shenzhen, ofrecemos soluciones integrales OEM/ODM, desde el diseño industrial y la ingeniería de PCB hasta la certificación regulatoria y la logística global. Cada depiladora se fabrica bajo procesos ISO 13485 con soporte de documentación FDA y CE.
homepage.expertise.cta	Explora nuestros servicios
homepage.tech.kicker	Tecnologías IPL principales
homepage.tech.heading	Tecnologías avanzadas que impulsan nuestras depiladoras IPL
homepage.tech.desc	Cada depiladora IPL de iShine se construye en torno a tecnologías propias que ofrecen resultados de depilación superiores, comodidad para el usuario y mayor vida útil del dispositivo, todo personalizable para tu marca.
homepage.tech.exploreComponents	Explora los componentes
homepage.tech.sapphire.title	Refrigeración de zafiro
homepage.tech.sapphire.desc	Refrigeración semiconductora de zafiro de hasta 8°C para un tratamiento sin dolor
homepage.tech.sapphire.alt	Refrigeración de zafiro
homepage.tech.glide.title	Deslizamiento
homepage.tech.glide.desc	Mantén pulsado el botón y desliza el dispositivo suavemente sobre la piel para activar los destellos automáticos
homepage.tech.glide.alt	Deslizamiento
homepage.tech.appControl.title	Control por app
homepage.tech.appControl.desc	Integración con una app inteligente para planes de tratamiento personalizados y seguimiento del progreso
homepage.tech.appControl.alt	Control por app
homepage.tech.dualLamp.title	Lámpara doble
homepage.tech.dualLamp.desc	Sistema de doble lámpara de cuarzo que duplica la vida útil de los destellos hasta 1,999,998 destellos
homepage.tech.dualLamp.alt	Lámpara doble
homepage.tech.skinSensor.title	Sensor de piel
homepage.tech.skinSensor.desc	Detección del tono de piel mediante IA para el ajuste automático de la energía y un funcionamiento seguro
homepage.tech.skinSensor.alt	Sensor de piel
homepage.tech.safetyLock.title	Bloqueo de seguridad
homepage.tech.safetyLock.desc	Sistema de seguridad integrado con mecanismo de prevención de destellos accidentales
homepage.tech.safetyLock.alt	Bloqueo de seguridad
homepage.work.kicker	Nuestro trabajo
homepage.work.heading	Casos de éxito que demuestran que el modelo de fabricación funciona
homepage.work.viewAll	Ver todos los casos de éxito
homepage.work.roseskinco	RoseSkinCo
homepage.work.card1Tag	IPL con refrigeración de zafiro
homepage.work.costco	Costco
homepage.work.card2Tag	IPL listo para el comercio minorista
homepage.work.ku2Alt	KU2
homepage.work.ku2Title	KU2 Cosmetics
homepage.work.card3Tag	Sistema de lámpara doble
homepage.work.happyskinco	HappySkinCo
