common.breadcrumb	Breadcrumb
footer.subscribe	Subscribe
footer.allRightsReserved	All rights reserved.
footer.followUs	Follow Us
footer.trustedBy	Trusted By
footer.certifiedBy	Certified By
footer.getInTouch	GET IN TOUCH
footer.callUs	CALL US
footer.emailUs	EMAIL US
footer.contactButton	Contact Our Team
footer.companyIntro	Founded in Shenzhen in 2010, serving beauty brands, retailers, and sourcing teams across global markets.
footer.companyRegistration	Registered in China Company No. 91440300MA5GW6335H
footer.copyright	© iShine Technology Ltd 2026 All rights reserved.
home.hero.title	IPL Manufacturing Services
home.hero.subtitle1	Custom Design & Production for Major Chains, Global Retailers and Beauty Brands.
home.hero.subtitle2	Leading Providers of IPL Hair Removal Device Custom Solutions.
home.hero.subtitle3	From idea to market, iShine help you design it, build it and box it.
home.hero.badge	MDSAP
home.features.advancedManufacturing.title	Advanced Manufacturing
home.features.advancedManufacturing.description	State-of-the-art facilities with complete production capabilities for IPL devices.
home.features.qualityAssurance.title	Quality Assurance
home.features.qualityAssurance.description	Rigorous quality control processes ensuring every device meets international standards.
home.features.customSolutions.title	Custom Solutions
home.features.customSolutions.description	Fully customizable IPL devices tailored to your brand identity and market needs.
home.features.certifiedExcellence.title	Certified Excellence
home.features.certifiedExcellence.description	FDA cleared and CE certified products with comprehensive compliance support.
home.features.globalPartnership.title	Global Partnership
home.features.globalPartnership.description	Trusted by leading brands worldwide including Costco, ROSESKINCO, and KU-2.
home.features.marketSuccess.title	Market Success
home.features.marketSuccess.description	From startup to scale, we support your journey from idea to market leadership.
home.products.roseSkin.name	RoseSkin - IPL Case Study
home.products.roseSkin.description	Transforming beauty routines with premium sapphire cooling technology
home.products.costco.name	Costco - IPL Case Study
home.products.costco.description	Delivering retail excellence with smart app-controlled IPL devices
home.products.ku2.name	KU2 - IPL Case Study
home.products.ku2.description	European market success through innovative dual-lamp technology
home.products.happySkin.name	HappySkinCo - IPL Case Study
home.products.happySkin.description	Luxury aesthetics meeting advanced IPL performance standards
home.capabilities.items[0]	Custom molded IPL device design
home.capabilities.items[1]	Rapid prototyping services
home.capabilities.items[2]	Ice cooling technology integration
home.capabilities.items[3]	Multi-function IPL development
home.capabilities.items[4]	Smart app-connected devices
home.capabilities.items[5]	Venus IPL customization
home.capabilities.items[6]	Dual-lamp system design
home.capabilities.items[7]	Skin sensor technology
home.capabilities.items[8]	Logo printing & branding
home.capabilities.items[9]	Complete packaging solutions
home.capabilities.items[10]	FDA & CE compliance support
home.capabilities.items[11]	Global shipping & logistics
home.whoWeAre.title	Who We Are
home.whoWeAre.p1	<b>iShine Technology partners with global retailers and beauty leaders — including Costco, RoseSkinCo, and KU2 Cosmetics — to deliver innovative home-use IPL hair removal devices.</b> We help brands expand into the fast-growing beauty-tech market with products that combine advanced technology, safety, and design excellence.
home.whoWeAre.p2	As a full-service <b>OEM & ODM manufacturer</b>, we provide <b>end-to-end solutions</b>: from concept design and prototyping to large-scale production, custom packaging, and worldwide logistics.
home.whoWeAre.p3	Our team collaborates closely with <b>brand owners, product managers, sourcing specialists, and designers</b> to ensure every project is delivered on time, on budget, and aligned with brand identity.
home.whoWeAre.p4	With successful partnerships across <b>the Middle East, Germany, and Turkey</b>, iShine has earned the trust of leading companies by turning ideas into market-ready IPL devices that drive growth and customer loyalty.
home.whoWeAre.companyProfile	READ MORE
home.whoWeAre.ourStory	Our Story
home.whyWork.title	Why Work with iShine?
home.whyWork.description	We're not ones to sing our own praises so we'll leave that to our clients! Here are some nice things they have to say about us.
home.collaborating.title	Collaborating Brands and Partners
home.clients.costco.testimonial	iShine's IPL devices have exceeded our expectations. The quality and reliability are outstanding, making them perfect for our retail customers.
home.clients.costco.role	Procurement Manager
home.clients.roseskin.testimonial	Working with iShine has been a game-changer for our beauty business. Their custom solutions and support are unmatched in the industry.
home.clients.roseskin.role	CEO
home.clients.ku2.testimonial	The precision and innovation in iShine's IPL technology have helped us deliver exceptional results to our European customers.
home.clients.ku2.role	Technical Director
home.stats.experience	Years Experience
home.stats.products	Product Models
home.stats.countries	Countries Served
home.stats.capacity	Units/Month
home.whyChoose.title	Why Choose iShine
home.whyChoose.subtitle	Your trusted partner in IPL device manufacturing
home.testimonials.title	Client Success Stories
home.testimonials.subtitle	Trusted by leading beauty tech brands worldwide
home.page.title	iShine - Professional IPL Hair Removal Device Manufacturer
home.page.description	iShine is an OEM and ODM IPL hair removal device manufacturer providing custom design, compliant production, and global delivery for beauty brands.
home.quickFeatures[0].title	Advanced Manufacturing
home.quickFeatures[0].description	State-of-the-art facilities with complete production capabilities for IPL devices.
home.quickFeatures[1].title	Quality Assurance
home.quickFeatures[1].description	FDA cleared devices with comprehensive testing and certification support.
home.quickFeatures[2].title	Expert Team
home.quickFeatures[2].description	15+ years of experience in IPL technology and beauty device manufacturing.
home.quickFeatures[3].title	Global Reach
home.quickFeatures[3].description	Serving brands worldwide with reliable shipping and logistics solutions.
home.heroSection.title	Building High-Performing IPL Devices
home.heroSection.description	Custom design and production for major chains, global retailers, and beauty brands. From idea to market, iShine helps you build compliant, premium, retail-ready IPL products.
home.heroSection.cta	Get a Free Quote
home.whoWeAreSection.subtitle	A full-stack IPL manufacturing partner for global beauty brands
home.whoWeAreSection.cta	Learn About iShine
home.productShowcase.kicker	Product Showcase
home.productShowcase.title	Our IPL Product Range
home.productShowcase.description	From premium sapphire cooling to smart app-controlled devices, explore our complete range of customizable IPL solutions.
home.productShowcase.cta	Explore product →
home.productShowcase.viewAll	View All Products
home.productCards.venus.name	Venus
home.productCards.venus.tagline	Premium Ice Cooling
home.productCards.lumi2.name	Lumi 2
home.productCards.lumi2.tagline	Smart App Control
home.productCards.hebe.name	Hebe
home.productCards.hebe.tagline	AI Skin Sensor
home.productCards.golden.name	Golden
home.productCards.golden.tagline	Luxury Edition
home.testimonialsSection.kicker	Testimonials
home.testimonialsSection.title	Why Work with iShine?
home.testimonialsSection.description	We are not ones to sing our own praises, so we let our clients do the talking. Their feedback shows what dependable execution looks like in real B2B projects.
home.testimonialsSection.seeAll	See all case studies
home.partnersSection.kicker	Partners
home.partnersSection.title	Collaborating Brands and Partners
home.caseStudies.kicker	Our Work
home.caseStudies.title	Case studies that prove the manufacturing model works
home.caseStudies.description	We are a specialist IPL hair removal device manufacturer in Shenzhen, trusted by global retailers and beauty brands for speed, compliance, and execution.
home.caseStudies.items[0].title	RoseSkin - IPL Case Study
home.caseStudies.items[0].description	Transforming beauty routines with premium sapphire cooling technology.
home.caseStudies.items[1].title	Costco - IPL Case Study
home.caseStudies.items[1].description	Delivering retail excellence with smart app-controlled IPL devices.
home.caseStudies.items[2].title	KU2 - IPL Case Study
home.caseStudies.items[2].description	European market success through innovative dual-lamp technology.
home.caseStudies.items[3].title	HappySkinCo - IPL Case Study
home.caseStudies.items[3].description	Luxury aesthetics meeting advanced IPL performance standards.
home.caseStudies.badge	Case Study
home.caseStudies.cta	View case study →
home.capabilitiesSection.kicker	Capabilities
home.capabilitiesSection.title	Complete Manufacturing Capabilities
home.capabilitiesSection.description	From initial concept to final delivery, we handle every aspect of IPL device production with precision and expertise.
home.capabilitiesSection.cta	Learn More About Our Services
home.capabilityStats[0].value	15+
home.capabilityStats[0].label	Years Experience
home.capabilityStats[1].value	50+
home.capabilityStats[1].label	Global Partners
home.capabilityStats[2].value	500K+
home.capabilityStats[2].label	Devices Produced
home.capabilityStats[3].value	FDA
home.capabilityStats[3].label	Cleared Devices
home.technologiesSection.kicker	Technologies
home.technologiesSection.title	Advanced IPL Technologies
home.technologiesSection.description	Cutting-edge features that set our IPL devices apart in the global market.
home.technologiesSection.items[0]	AI Skin Sensor Technology
home.technologiesSection.items[1]	Venus Ice Cooling
home.technologiesSection.items[2]	Smart App Control
home.technologiesSection.items[3]	Dual Lamp System
home.technologiesSection.items[4]	Multi-Function Capabilities
home.technologiesSection.items[5]	Multi-Head Design
home.technologiesSection.itemDescription	Cutting-edge modules that help brands differentiate on performance, comfort, and user experience.
home.technologiesSection.cta	Learn more →
home.qualitySection.kicker	Quality
home.qualitySection.title	Quality Assurance and Global Certifications
home.qualitySection.description	Every device undergoes rigorous testing and quality control processes to meet the highest international standards. Our certifications open doors to global markets.
home.qualitySection.items[0].title	FDA Cleared Devices
home.qualitySection.items[0].description	Full support for FDA clearance process and ongoing compliance.
home.qualitySection.items[1].title	CE Marking
home.qualitySection.items[1].description	European market compliance for seamless distribution.
home.qualitySection.items[2].title	ISO 13485 Certified
home.qualitySection.items[2].description	Medical device quality management system certification.
home.qualitySection.items[3].title	MDSAP Compliant
home.qualitySection.items[3].description	Medical Device Single Audit Program for multiple markets.
home.qualitySection.stats[0]	100% Testing Coverage
home.qualitySection.stats[1]	FDA Cleared Products
home.qualitySection.stats[2]	CE Certified
home.qualitySection.stats[3]	ISO 13485 Certified
home.qualitySection.cta	Learn About Our Quality Process
home.statsSection.kicker	Scale Proof
home.statsSection.title	Trusted by Industry Leaders Worldwide
home.statsSection.description	Numbers that demonstrate our commitment to excellence and partnership success.
home.statsSection.stats[0].value	15+
home.statsSection.stats[0].label	Years in Business
home.statsSection.stats[1].value	500K+
home.statsSection.stats[1].label	Devices Manufactured
home.statsSection.stats[2].value	50+
home.statsSection.stats[2].label	Global Partners
home.statsSection.stats[3].value	20+
home.statsSection.stats[3].label	Countries Served
home.statHighlights[0].title	Major Retailers
home.statHighlights[0].description	Trusted by leading retail chains including Costco Canada for consistent quality and reliability.
home.statHighlights[1].title	Beauty Brands
home.statHighlights[1].description	Powering successful beauty tech brands across USA, Europe, and Middle East markets.
home.statHighlights[2].title	Global Startups
home.statHighlights[2].description	Supporting innovative startups from concept to market with flexible MOQ and expert guidance.
home.blogSection.kicker	Blog
home.blogSection.title	Latest Insights and Resources
home.blogSection.description	Stay informed with the latest trends, technologies, and best practices in IPL manufacturing.
home.blogSection.viewAll	View All Articles
home.blogSection.cta	Read article →
home.blogSection.fallbackPosts[0].title	Smart IPL Devices: The App-Connected Revolution
home.blogSection.fallbackPosts[0].excerpt	Discover how app connectivity is transforming the IPL user experience with personalized treatment plans and progress tracking.
home.blogSection.fallbackPosts[0].category	TECHNOLOGY
home.blogSection.fallbackPosts[1].title	Latest Advances in IPL Research
home.blogSection.fallbackPosts[1].excerpt	Explore cutting-edge IPL technologies including AI-powered skin detection and next-generation cooling systems.
home.blogSection.fallbackPosts[1].category	INNOVATION
home.blogSection.fallbackPosts[2].title	OEM vs ODM: Choosing the Right Manufacturing Model
home.blogSection.fallbackPosts[2].excerpt	Understanding the difference between OEM and ODM services and choosing the best approach for your brand.
home.blogSection.fallbackPosts[2].category	GUIDE
home.blogSection.noImage	Empty Image
homepage.trustBar.shipping	Global Shipping
homepage.trustBar.privateLabel	Private Label
homepage.trustBar.chatgpt	ChatGPT Top Collection
homepage.logo.alt	iShine Laser Epilator Supplier
homepage.nav.products	Products
homepage.nav.services	Services
homepage.nav.ourWork	Our Work
homepage.nav.getInTouch	Get in touch
homepage.nav.menuLabel	Menu
homepage.mobile.iplCatalogue	IPL Catalogue
homepage.mobile.allProducts	All Products
homepage.mobile.viewAllServices.title	View all Services
homepage.mobile.viewAllServices.desc	See how we support your IPL project from launch to long-term growth.
homepage.mobile.consultDesc	Medical regulation consultant, dropshipping, global shipping
homepage.mega.lumi2.name	Lumi 2
homepage.mega.lumi2.tagline	Smart Skin Sensor, cooling to 10°C
homepage.mega.lumi.name	Lumi
homepage.mega.lumi.tagline	Smart App Control
homepage.mega.venus.name	Venus
homepage.mega.venus.tagline	Premium Ice Cooling
homepage.mega.themis.name	Themis
homepage.mega.themis.tagline	Dual Lamp System
homepage.mega.emerald.name	Emerald
homepage.mega.emerald.tagline	Sensitive-Skin Cooling
homepage.mega.eirene.name	Eirene
homepage.mega.eirene.tagline	Professional Grade
homepage.mega.golden.name	Golden
homepage.mega.golden.tagline	Luxury Edition
homepage.mega.hebe.name	Hebe
homepage.mega.hebe.tagline	AI Skin Sensor
homepage.mega.components.heading	ipl components
homepage.mega.components.lamp	Lamp Cartridges
homepage.mega.components.filter	Optical Filters
homepage.mega.components.cooling	Cooling System
homepage.mega.components.power	Power Supply
homepage.mega.card1.heading	Meet Best IPL
homepage.mega.card1.desc	SmartSkin Sensor and Diamond Ice
homepage.mega.card1.cta	Meet Lumi 2
homepage.mega.audit.title	Get a free instant IPL audit
homepage.mega.audit.desc	Recommendations on energy, frequency, and stability issues, and real user experience data
homepage.mega.audit.cta	Get my audit
homepage.mega.services.technology.title	Find a IPL Technology Partner
homepage.mega.services.technology.desc	Ice Feeling, Skin Sensor and Dual-lamp
homepage.mega.services.privateLabel.title	Private-label
homepage.mega.services.privateLabel.desc	Logo print, box custom
homepage.mega.services.build.title	Build a New IPL
homepage.mega.services.build.desc	Custom design and development
homepage.mega.services.maintain.title	Maintain or Fix IPL Project
homepage.mega.services.maintain.desc	Support and maintenance
homepage.mega.services.heading	Manufacturing Services
homepage.mega.services.oemOdm	OEM & ODM
homepage.mega.services.productDesign	Product Design
homepage.mega.services.productionAssembly	Production & Assembly
homepage.mega.services.packagingLogistics	Packaging & Logistics
homepage.mega.services.logoPrinting	Logo Printing
homepage.mega.services.boxCustom	Box Custom
homepage.mega.services.dropshipping	Dropshipping
homepage.mega.services.noMoq	No MOQ
homepage.mega.about.navTitle	About
homepage.mega.about.title	About iShine
homepage.mega.about.desc	Who we are & what we do
homepage.mega.about.brandStory.title	Brand Story
homepage.mega.about.brandStory.desc	How iShine started
homepage.mega.about.companyProfile.title	Company Profile
homepage.mega.about.companyProfile.desc	Capabilities, certifications and facilities
homepage.mega.about.manufacturing.title	Manufacturing Capabilities
homepage.mega.about.manufacturing.desc	Factory, equipment and production scale
homepage.mega.about.quality.title	Quality Control
homepage.mega.about.quality.desc	ISO 13485 processes and testing
homepage.mega.about.team.title	Meet the Team
homepage.mega.about.team.desc	The people behind our work
homepage.mega.about.clients.title	Client Testimonials
homepage.mega.about.clients.desc	Trusted by leading brands
homepage.mega.about.careers.title	Careers
homepage.mega.about.careers.desc	Join our growing team
homepage.mega.about.card.heading	Behind the projects
homepage.mega.about.card.desc	The people and skills behind the work.
homepage.mega.about.card.cta	Meet the team
homepage.mega.resources.navTitle	Resources
homepage.mega.resources.blog.title	Blog
homepage.mega.resources.blog.desc	Insights and expert updates.
homepage.mega.resources.faq.title	FAQ & Help
homepage.mega.resources.faq.desc	Common questions, answered.
homepage.mega.resources.audit.title	Free IPL Device Audit
homepage.mega.resources.audit.desc	Check energy, frequency and stability.
homepage.mega.resources.consult.title	iShine Consult Service
homepage.mega.resources.consult.desc	Medical regulation consultant, Dropshipping, Global shipping, Shopify extensions.
homepage.mega.resources.iplSafety.title	IPL Safety
homepage.mega.resources.iplSafety.desc	Is IPL hair removal safe?
homepage.hero.powerLine	Powering the World Leading IPL Device Brands
homepage.hero.title	Private-label manufacturing for Ambitious Brands
homepage.hero.bookACall	Book a call
homepage.whatWeDo.kicker	What we do
homepage.whatWeDo.heading	Designing & developing IPL device that scale
homepage.whatWeDo.item1.title	Find Your Manufacturing Partner
homepage.whatWeDo.item1.desc	iShine Technology partners with global retailers and beauty leaders — including Costco, RoseSkinCo, and KU2 Cosmetics — to deliver innovative home-use IPL hair removal devices. We help brands expand into the fast-growing beauty-tech market with products that combine advanced technology, safety, and design excellence.
homepage.whatWeDo.item1.cta	Find a technology partner
homepage.whatWeDo.item2.title	You Design it, We Build it, Box it.
homepage.whatWeDo.item2.desc	As a full-service OEM and ODM manufacturer, we provide end-to-end solutions: from concept design and prototyping to large-scale production, custom packaging, and worldwide logistics.
homepage.whatWeDo.item2.cta	View platforms
homepage.whatWeDo.item3.title	Private Label
homepage.whatWeDo.item3.desc	Whether you're a brand, retailer, wholesaler, distributor, e-commerce seller, Amazon seller, design studio, or promotional campaign, iShine is here to collaborate with you and turn your beauty product ideas into reality through our OEM services. We will never share our clients' brands or designs without a signed NDA in place.
homepage.whatWeDo.item3.cta	Explore
homepage.whatWeDo.item4.title	Build a New IPL Device
homepage.whatWeDo.item4.desc	We design and develop new IPL device, LED Therapy mask, and high speed hair dryer shaped around your brand, goals, and long-term plans. From packaging custom, visual design to development and launch, your new IPL project is built for performance, conversion, and scalability.
homepage.whatWeDo.item4.cta	Get started
homepage.whatWeDo.viewAllServices	View all services
homepage.whatWeDo.visual1Alt	Private-label Manufacturing
homepage.whatWeDo.visual2Alt	Find a IPL Technology Partner
homepage.whatWeDo.visual3Alt	Maintain or Fix IPL Project
homepage.whatWeDo.visual4Alt	Build a New IPL Product
homepage.showcase.lumi2Tagline	Smart Skin Sensor + Cooling to 10°C
homepage.showcase.helixTagline	Ice Cooling + 9 Intensity Levels
homepage.showcase.alphaTagline	High-Efficiency IPL
homepage.clients.heading	Trusted by Global Beauty Brands
homepage.clients.sub	From premium retailers to fast growing beauty-tech startups.
homepage.clients.mandyskinAlt	MandySkin
homepage.clients.roseskincoAlt	RoseSkinCo
homepage.clients.ku2Alt	KU-2 Cosmetic
homepage.clients.luxskinAlt	LUX SKIN
homepage.stats.kicker	You Design it, We Build it and Box it.
homepage.stats.heading	Manufacturing at Scale for the IPL Industry
homepage.stats.desc	From prototyping to mass production, our manufacturing track record speaks for itself across the global beauty-tech market.
homepage.stats.viewProducts	View Products
homepage.stats.certValue	FDA · CE · ISO
homepage.stats.card1Label	IPL devices manufactured and shipped to global markets since 2021
homepage.stats.card2Label	International certifications held for global market compliance
homepage.stats.qualityProcess	Quality Process
homepage.stats.card3Label	Global brand partners including Costco, RoseSkinCo, and KU2
homepage.stats.clientStories	Client Stories
homepage.stats.card4Label	Countries served with end-to-end logistics and export support
homepage.stats.globalLogistics	Global Logistics
homepage.stats.prevAria	Previous cards
homepage.stats.nextAria	Next cards
homepage.quality.kicker	Quality Assurance
homepage.quality.heading	Global Certifications for Trusted Manufacturing
homepage.quality.item1Desc	Full support for FDA clearance process and ongoing compliance documentation.
homepage.quality.item2Desc	European market compliance for seamless distribution across EU member states.
homepage.quality.item3Desc	Medical device quality management system certification for consistent manufacturing.
homepage.quality.item4Desc	Medical Device Single Audit Program for multi-market regulatory acceptance.
homepage.quality.cta	Learn About Quality Process
homepage.quality.badgeCertified	Certified
homepage.quality.badgeCeMarked	CE Marked
homepage.quality.badgeIso	ISO 13485
homepage.quality.badgeCompliant	Compliant
homepage.quality.badgeMdsap	MDSAP
homepage.expertise.heading	Full-Stack IPL Device Manufacturer in Shenzhen
homepage.expertise.logoPrintAlt	Logo Print
homepage.expertise.boxCustomAlt	Box Custom
homepage.expertise.globalExpressAlt	Global Express
homepage.expertise.desc	As a Shenzhen-based IPL device manufacturer, we deliver end-to-end OEM/ODM solutions — from industrial design and PCB engineering to regulatory certification and global logistics. Every device is built under ISO 13485 processes with FDA and CE documentation support.
homepage.expertise.cta	Explore Our Services
homepage.tech.kicker	Core IPL Technologies
homepage.tech.heading	Advanced Technologies Powering Our IPL Devices
homepage.tech.desc	Every iShine IPL device is built around proprietary technologies that deliver superior hair removal results, user comfort, and device longevity — customizable for your brand.
homepage.tech.exploreComponents	Explore Components
homepage.tech.sapphire.title	Sapphire Cooling
homepage.tech.sapphire.desc	Sapphire semiconductor cooling down to 8°C for painless treatment
homepage.tech.sapphire.alt	Sapphire Cooling
homepage.tech.glide.title	Glide
homepage.tech.glide.desc	Press and hold button, then glide the device smoothly over the skin for automatic flashing
homepage.tech.glide.alt	glide
homepage.tech.appControl.title	App Control
homepage.tech.appControl.desc	Smart app integration for personalized treatment plans and progress tracking
homepage.tech.appControl.alt	App Control
homepage.tech.dualLamp.title	Dual Lamp
homepage.tech.dualLamp.desc	Dual quartz lamp system doubling flash lifespan to 1,999,998 flashes
homepage.tech.dualLamp.alt	Dual Lamp
homepage.tech.skinSensor.title	Skin Sensor
homepage.tech.skinSensor.desc	AI skin tone detection for auto energy adjustment and safe operation
homepage.tech.skinSensor.alt	Skin Sensor
homepage.tech.safetyLock.title	Safety Lock
homepage.tech.safetyLock.desc	Integrated safety system with accidental flash prevention mechanism
homepage.tech.safetyLock.alt	Safety Lock
homepage.work.kicker	Our work
homepage.work.heading	Case Studies That Prove the Manufacturing Model Works
homepage.work.viewAll	View all case studies
homepage.work.roseskinco	RoseSkinCo
homepage.work.card1Tag	Sapphire Cooling IPL
homepage.work.costco	Costco
homepage.work.card2Tag	Retail-Ready IPL
homepage.work.ku2Alt	KU2
homepage.work.ku2Title	KU2 Cosmetics
homepage.work.card3Tag	Dual Lamp System
homepage.work.happyskinco	HappySkinCo
homepage.work.card4Tag	Luxury Design IPL
homepage.testimonials.authorName	Sarah Johnson
homepage.testimonials.authorRole	Procurement Manager, Costco Canada
homepage.footer.heading	Ready to start your IPL project?
homepage.footer.sub	We'd love to help you bring your private-label IPL device to market.
homepage.footer.address	Shenzhen, China
homepage.footer.companyName	iShine Technology Ltd.
homepage.footer.companyIntro	Founded in Shenzhen in 2021, serving beauty brands worldwide with OEM/ODM IPL manufacturing.
homepage.footer.fdaSupport	FDA 510(k) Documentation Support
contact.title	Contact Our Team
contact.subtitle	Get in touch with our team
contact.description	Tell us about your OEM/ODM project, sample request, or sourcing requirements. We typically respond within 24-48 hours with next-step guidance.
contact.form.title	Send Us a Message
contact.form.name	Name
contact.form.email	Email
contact.form.phone	Phone
contact.form.company	Company
contact.form.subject	Subject
contact.form.message	Message
contact.form.messagePlaceholder	Tell us about your project...
contact.form.send	Send Message
contact.form.sending	Sending...
contact.form.success	Message sent successfully!
contact.form.error	Failed to send message. Please try again.
contact.info.title	Contact Information
contact.info.phone	Phone
contact.info.email	Email
contact.info.address	Address
contact.info.businessHours	Business Hours
contact.info.mondayToFriday	Monday - Friday: 9:00 AM - 6:00 PM
contact.info.saturday	Saturday: 9:00 AM - 1:00 PM
contact.info.sunday	Sunday: Closed
componentsCooling.header.title	Advanced Cooling Systems
componentsCooling.header.description	State-of-the-art cooling technologies including sapphire and semiconductor cooling for safe and comfortable IPL treatments
componentsCooling.breadcrumb.components	Components
componentsCooling.breadcrumb.cooling	Cooling System
componentsCooling.intro.title	Revolutionary Cooling Technology
componentsCooling.intro.paragraph	Our advanced cooling systems represent the pinnacle of IPL comfort and safety technology. By integrating cutting-edge sapphire contact cooling and intelligent temperature management, we ensure every treatment session is not only effective but also remarkably comfortable for users.
componentsCooling.highlight.whyTitle	Why Advanced Cooling Matters
componentsCooling.highlight.paragraph	Effective cooling is crucial for IPL device performance, user comfort, and treatment safety. Our systems maintain optimal skin temperature while maximizing treatment efficacy.
componentsCooling.highlight.items.comfort	Enhanced patient comfort during treatments
componentsCooling.highlight.items.safety	Reduced risk of thermal damage to skin
componentsCooling.highlight.items.performance	Improved treatment outcomes and consistency
componentsCooling.highlight.imageAlt	Advanced cooling system technology
componentsCooling.tech.title	Cooling Technologies
componentsCooling.tech.description	Explore our range of advanced cooling solutions designed for different applications and user needs
componentsCooling.tech.items.plates.title	Contact Cooling Plates
componentsCooling.tech.items.plates.description	High-efficiency cooling plates that maintain consistent temperature during treatment sessions
componentsCooling.tech.items.sapphire.title	Sapphire Contact Cooling
componentsCooling.tech.items.sapphire.description	Premium sapphire crystal cooling for maximum comfort and superior heat dissipation
componentsCooling.tech.items.semiconductor.title	Semiconductor Cooling
componentsCooling.tech.items.semiconductor.description	Advanced Peltier cooling technology for precise temperature control and energy efficiency
componentsCooling.applications.title	Applications
componentsCooling.applications.description	Our cooling systems are designed for various IPL applications and treatment scenarios
componentsCooling.applications.items.home.title	Home Use Devices
componentsCooling.applications.items.home.description	Compact cooling solutions for personal IPL devices with user-friendly operation
componentsCooling.applications.items.multi.title	Multi-Function Systems
componentsCooling.applications.items.multi.description	Advanced cooling for professional-grade multi-application IPL platforms
componentsCooling.applications.items.pro.title	Professional Equipment
componentsCooling.applications.items.pro.description	High-performance cooling systems for clinical and salon environments
componentsCooling.applications.items.sensitive.title	Sensitive Areas
componentsCooling.applications.items.sensitive.description	Specialized cooling for delicate skin areas and sensitive treatment zones
componentsCooling.compliance.title	Regulatory Compliance
componentsCooling.compliance.paragraph	Our cooling systems meet international medical device standards and regulatory requirements
componentsCooling.compliance.items.fda	FDA Compliant
componentsCooling.compliance.items.iec60601	IEC 60601 Certified
componentsCooling.compliance.items.mdr	MDR Ready
componentsCooling.compliance.items.ce	CE Marked
componentsCooling.compliance.items.iso13485	ISO 13485 Certified
componentsCooling.visuals.title	System Visualization
componentsCooling.visuals.images.plate.alt	Cooling plate close-up
componentsCooling.visuals.images.plate.title	Sapphire Cooling Plate
componentsCooling.visuals.images.plate.caption	High-efficiency thermal transfer
componentsCooling.visuals.images.integration.alt	System integration diagram
componentsCooling.visuals.images.integration.title	Seamless Integration
componentsCooling.visuals.images.integration.caption	Compact module design
componentsCooling.specs.title	Technical Specifications
componentsCooling.specs.description	Detailed specifications for our cooling system components
componentsCooling.specs.table.parameter	Parameter
componentsCooling.specs.table.value	Value
componentsCooling.specs.table.notes	Notes
componentsCooling.specs.rows[0].parameter	Cooling Method
componentsCooling.specs.rows[0].value	Sapphire Contact + Semiconductor
componentsCooling.specs.rows[0].description	Dual cooling technology for optimal performance
componentsCooling.specs.rows[1].parameter	Temperature Range
